ProductName,Stars,Ratings,Current_Price,MRP
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,9970,32990,45990
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.4,11854,52990,63539
Lenovo Intel Celeron Dual Core,4.1,366,28490,40490
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,4.4,1340,63990,71990
acer Aspire 3 Ryzen 3 Dual Core 3250U,4.2,263,26990,42999
HP 14s Intel Core i3 11th Gen,4.2,1556,35990,47206
Lenovo V15 G2 Core i3 11th Gen,3.8,22,33999,59760
RedmiBook Pro Core i5 11th Gen,4.1,3641,39990,59999
HP Intel Core i5 11th Gen,4.2,25,52990,56903
HP Ryzen 3 Dual Core 3250U,4.1,1060,29990,43631
HP Ryzen 5 Hexa Core 5500U,4.3,1056,45727,59778
ASUS Vivobook Ultra 14 (2022) Core i5 11th Gen,4.4,153,56990,81990
ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,698,23990,33990
DELL Vostro Core i3 11th Gen,4.2,35,42290,58489
HP 15s Intel Core i3 11th Gen,4.2,328,40990,50585
ASUS Vivobook 15 Touch Core i3 11th Gen,4.3,317,41990,60990
HP 15s Intel Core i5 12th Gen,4.2,1914,56899,70235
Lenovo V15 G2 Core i3 11th Gen,3.9,10,35999,60120
HP Ryzen 5 Hexa Core 5500U,4.3,278,50490,59108
ASUS Vivobook 15 Core i3 10th Gen,4.1,168,33990,50990
HP G8 Ryzen 3 Dual Core AMD Ryzen 3 3250U,0.0,0,28490,40528
Lenovo Celeron Dual Core,3.8,204,19990,36000
HP 14s Intel Core i5 12th Gen,4.2,1284,58899,75191
ASUS Core i7 11th Gen,4.0,89,56990,80990
Infinix INBook X1 Neo Series Celeron Quad Core,4.1,738,20990,29990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,4.5,755,59990,82990
ASUS Vivobook 15 Core i3 11th Gen,4.2,179,39990,50990
HP Ryzen 5 Hexa Core 5500U,4.3,208,50499,63289
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
MSI Core i5 11th Gen,4.5,235,59990,78990
DELL Inspiron Core i3 11th Gen,4.2,341,42490,61202
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2,4.3,102,32990,47990
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
MSI Bravo 15 Ryzen 5 Hexa Core AMD R5,4.4,2115,49990,72990
ASUS Vivobook 15 Core i3 10th Gen,4.1,168,33990,50990
HP Pavilion Ryzen 5 Hexa Core 5625U,4.3,90,53990,63325
acer Aspire 7 Ryzen 5 Hexa Core 5500U,4.4,5461,58990,89999
Lenovo IdeaPad Gaming Core i5 11th Gen,4.3,2543,52990,76890
Lenovo Intel Core i3 10th Gen,4.3,721,33990,50290
Lenovo Celeron Dual Core,4.0,100,28490,40490
acer Extensa Core i5 11th Gen,3.9,146,42990,57999
DELL Inspiron Core i3 11th Gen,4.3,375,54300,68658
HP 14s Intel Core i3 11th Gen,4.2,3451,41990,49509
DELL Core i5 12th Gen,3.5,11,57990,75649
HP Ryzen 3 Quad Core 5300U,4.2,1824,38490,45991
HP Pavilion Ryzen 5 Hexa Core 5625U,5.0,3,61990,69082
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,6,33990,59390
acer Extensa Core i3 11th Gen,4.3,362,32990,39999
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,4.4,1128,53990,78990
HP 15s Intel Core i3 12th Gen,4.2,39,47490,56260
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,4.5,755,59990,82990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
ASUS Vivobook 15 Core i5 11th Gen,4.3,121,50990,69990
ASUS Vivobook 15 Core i5 12th Gen,3.5,11,59490,72990
ASUS Vivobook 15 Touch Core i5 11th Gen,4.3,135,51990,74990
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.5,605,45990,62990
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,4.2,391,38990,57990
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.2,10,56990,70990
ASUS Vivobook 15 Core i5 11th Gen,4.2,149,50990,69990
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,424,58490,76890
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5,4.5,742,58990,80990
HP Victus Ryzen 5 Hexa Core 5600H,5.0,5,59990,76021
DELL Inspiron Ryzen 5 Hexa Core 5625U,4.2,18,52490,69031
acer Aspire Core i3 12th Gen,4.3,34,42990,54999
DELL Core i5 12th Gen,3.4,11,57990,80473
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.6,7,48990,90990
MSI Core i5 11th Gen,4.4,2501,63990,83990
Lenovo IdeaPad Core i5 11th Gen,4.3,2543,54990,83890
ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,4.3,639,64990,85990
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,4.5,618,65990,88990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS Vivobook 14 (2022) Core i5 12th Gen,4.8,14,66990,82990
acer Aspire 7 Ryzen 5 Hexa Core AMD R5,4.4,5461,54990,76999
ASUS Vivobook 16X Ryzen 5 Hexa Core R5,4.9,7,54990,74990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
ASUS Vivobook 14 Pentium Quad Core,0.0,0,32311,40990
ASUS TUF Gaming F15 Core i5 10th Gen,4.5,116,65990,84990
acer Extensa Core i3 11th Gen,4.1,709,34990,43999
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.3,1008,63990,86990
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,124,44990,63990
acer Aspire 3 Dual Core 3020e,4.1,656,24990,34999
HP Pavilion Intel Core i5 12th Gen,4.2,124,63990,73688
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,4.5,248,65990,75990
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,147,65990,84990
Lenovo IdeaPad Core i5 11th Gen,4.4,41,59990,97890
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.3,1008,63990,86990
HP Victus Ryzen 7 Octa Core 5800H,0.0,0,66990,90056
ASUS VivoBook 15 (2022) Core i5 10th Gen,4.3,6061,46990,62990
Lenovo Intel Core i3 11th Gen,4.0,22,40990,61390
HP Victus Ryzen 5 Hexa Core 5600H,5.0,5,59990,76021
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.1,31,47990,62990
ASUS VivoBook Flip 14 Core i3 11th Gen,4.0,141,49990,69990
DELL Inspiron Ryzen 3 Dual Core 3250U,4.3,76,41190,54435
HP Laptop with Backlit Keyboard Core i3 11th Gen,4.4,37,43499,51724
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS Core i3 12th Gen,3.9,18,44990,54990
ASUS VivoBook Ultra Ryzen 7 Octa Core AMD R7,4.3,74,57990,84990
Lenovo Ideapad Slim 3 Core i3 10th Gen,4.4,228,35990,61490
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
DELL Ryzen 3 Quad Core 5425U,4.4,41,41490,56834
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,4.4,373,64990,93690
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,1412,42990,58990
Infinix INBook X2 Plus Core i3 11th Gen,4.1,77,37990,44990
ASUS VivoBook Flip 14 Core i5 11th Gen,4.8,20,63990,82990
ASUS Chromebook Flip Touch Celeron Dual Core,4.0,1741,15990,31990
MSI Core i7 12th Gen,0.0,0,68490,83990
ASUS Ryzen 5 Hexa Core,4.6,20,54990,72994
DELL Inspiron Pentium Silver,4.1,328,32000,44319
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7,4.5,618,65990,88990
Lenovo IdeaPad Slim 5 Ryzen 7 Hexa Core 5700U,0.0,0,65990,93690
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,4491,40990,59390
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,1568,48990,68490
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,744,37990,54490
Infinix INBook X1 Core i5 10th Gen,4.1,1686,47999,59999
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,1568,48990,68490
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,4.2,744,37990,54490
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS Vivobook 14 Core i5 10th Gen,3.5,11,49490,73990
ASUS Eeebook 14 Pentium Quad Core,0.0,0,28990,40990
ASUS Vivobook 14 (2022) Core i5 12th Gen,5.0,4,66990,82990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
Lenovo V15 G2 Core i5 11th Gen,0.0,0,49490,81450
DELL Inspiron Ryzen 3 Dual Core 3250U,4.5,11,36690,52433
ASUS EeeBook 14 with NumberPad Pentium Silver,4.1,104,27990,40990
acer Aspire Ryzen 5 Quad Core 3500U,4.2,325,35990,54999
Lenovo Core i3 11th Gen,0.0,0,38790,58680
acer Extensa 15 Core i3 11th Gen,4.1,188,32490,44999
DELL Inspiron Ryzen 3 Quad Core 5425U,3.9,8,44190,56748
ASUS VivoBook 14 (2022) Core i3 12th Gen,4.2,40,47990,62990
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,364,40990,58990
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,35990,49999
DELL Vostro Core i3 10th Gen,4.0,207,41990,54783
ASUS Vivobook 14 (2022) Core i3 12th Gen,0.0,0,49990,62990
Lenovo IdeaPad 3 Core i5 11th Gen,4.2,268,55490,71990
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.4,1412,55000,58990
HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250,4.5,4,34190,44912
ASUS VivoBook Flip 14 Core i3 11th Gen,4.4,124,44990,66990
HP Ryzen 7 Octa Core 5700U,4.0,6,64990,71766
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
HP Ryzen 5 Hexa Core 5500U,4.2,1884,46329,61388
Lenovo Core i3 11th Gen,4.0,47,40990,90990
acer Nitro 5 Ryzen 5 Hexa Core 5600H,4.5,298,63990,95999
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
DELL Core i3 11th Gen,4.2,67,60900,73600
DELL Core i3 11th Gen,0.0,0,45990,58200
HP 15s Intel Core i3 11th Gen,4.4,79,39890,47264
ASUS Core i3 10th Gen,4.4,91,33990,50990
Infinix X1 Slim Series Core i5 10th Gen,4.2,396,49990,64999
DELL Vostro Ryzen 3 Dual Core R3,3.8,449,36400,50651
Lenovo IdeaPad 1 Ryzen 5 Quad Core 3500U,4.2,658,45490,60090
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,4.5,17,48990,68490
HP Intel Core i3 11th Gen,4.4,5462,40990,45892
ASUS Core i3 11th Gen,4.0,102,33990,44990
DELL Inspiron Core i3 10th Gen,4.4,683,39890,44634
HP Ryzen 7 Octa Core 5700U,4.2,117,60990,73625
acer Nitro 5 Ryzen 5 Hexa Core 4600H,4.5,2345,61490,99999
HP 15s Intel Core i3 11th Gen,4.3,1588,44650,50982
Infinix INBook X2 Plus Core i3 11th Gen,4.1,146,40990,49990
ASUS Core i3 12th Gen,3.8,4,42990,57990
HP Core i3 11th Gen,0.0,0,43250,51724
ASUS Ryzen 3 Dual Core,0.0,0,33990,48990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
Infinix INBook X1 Neo Series Celeron Quad Core,4.2,3431,24999,39990
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.1,34,65990,95790
Infinix X1 Slim Series Core i7 10th Gen,3.7,111,54990,69999
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
acer Aspire 7 Core i5 12th Gen,4.3,2969,57990,83999
DELL Inspiron Core i5 11th Gen,4.1,75,69890,87600
Lenovo IdeaPad 3 Core i3 11th Gen,0.0,0,37490,61590
DELL Inspiron Core i5 12th Gen,0.0,0,65390,85751
Lenovo IdeaPad 3 Core i5 12th Gen,4.2,236,62490,76890
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0.0,0,63990,95090
HP Victus Ryzen 7 Octa Core 5800H,0.0,0,68990,86547
ASUS VivoBook Flip 14 Core i3 11th Gen,4.0,141,49990,67990
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,44990,59999
Vaio E Series Ryzen 5 Quad Core 3500U,4.0,706,41990,66990
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,364,40990,58990
DELL Inspiron Core i5 11th Gen,4.2,17,49890,90783
DELL Inspiron Core i3 11th Gen,3.7,683,39690,51493
acer Aspire Vero (Green PC) Core i5 11th Gen,0.0,0,54990,79999
ASUS Vivobook 15 Core i3 11th Gen,4.4,35,39990,56990
Infinix INBook X1 Neo Series Celeron Quad Core,4.1,738,20990,29990
HP G8 Core i3 11th Gen,4.0,40,34690,45743
DELL Inspiron Core i5 11th Gen,3.7,10,57990,73171
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
DELL Inspiron Core i3 11th Gen,4.3,245,61900,72600
acer Aspire 5 Core i5 12th Gen,0.0,0,57990,74999
DELL Inspiron Core i3 11th Gen,3.1,15,44290,55047
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,4.5,742,58990,80990
DELL Vostro Core i3 10th Gen,4.2,50,42490,57858
HP 15s Core i3 11th Gen,0.0,0,37770,48052
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,4.1,54,50990,67990
DELL Core i5 12th Gen,4.0,7,61490,79928
HP Pavilion Gaming Ryzen 5 Quad Core 3550H,4.4,2207,59990,0
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,4.6,58,63990,86990
DELL Ryzen 3 Quad Core 5425U,4.6,7,43490,55384
DELL Vostro Core i3 11th Gen,4.1,9,42890,44427
Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,4.1,933,25990,40490
Infinix X1 Slim Series Core i3 10th Gen,4.3,4244,35990,49999
HP 15s Intel Core i3 11th Gen,4.2,230,41999,47834
Lenovo IdeaPad 3 Core i5 12th Gen,4.1,78,66490,82490
DELL Vostro Core i3 10th Gen,4.2,904,42490,54781
Lenovo Core i3 11th Gen,4.1,26,40699,55695
ASUS TUF Gaming A17 Ryzen 5 Hexa Core AMD R5,4.5,531,64590,81990
Lenovo Ryzen 3 Dual Core 3250U,3.6,84,31490,36923
DELL Inspiron Ryzen 3 Dual Core 3250U,4.2,26,44090,56771
HP Athlon Dual Core 3050U,4.0,848,29490,39288
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
DELL Inspiron Core i3 10th Gen,4.1,993,45390,60490
HP Ryzen 3 Quad Core 5300U,4.3,1974,41990,52900
DELL Vostro Ryzen 3 Dual Core 3250U,4.1,68,42190,51105
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
DELL Vostro Ryzen 5 Hexa Core 5625U,0.0,0,67115,82373
DELL Core i3 12th Gen,4.0,9,47990,55047
HP 14s Intel Celeron Dual Core,3.8,354,27891,36865
MSI Ryzen 7 Octa Core 5700U,4.2,113,52990,78990
ASUS Core i3 11th Gen,0.0,0,35990,52990
MSI Bravo Ryzen 5 Hexa Core 5600H,4.4,2115,58500,83990
HP Athlon Dual Core 3050U,4.3,25,25612,31690
DELL Inspiron Core i3 11th Gen,4.0,53,43490,56776
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,9970,35990,50990
ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,4.3,398,34990,46990
acer Aspire 7 Core i5 12th Gen,4.3,2969,61990,94999
Lenovo IdeaPad 3 Core i3 10th Gen,4.4,798,31990,36133
DELL Vostro 3405 Athlon Dual Core 3050,4.1,488,28290,39874
MSI GF63 Thin Hexa Core i5 10th Gen,4.4,3387,54490,76990
Lenovo Core i3 10th Gen,4.3,768,38990,62190
DELL Inspiron Core i5 11th Gen,4.3,505,60390,65321
Avita Pura E,0.0,0,29990,47990
SAMSUNG Galaxy Book2 Core i5 12th Gen,4.6,78,61990,79990
HP Pavilion Ryzen 5 Hexa Core AMD R5,4.5,95,63990,73544
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,0.0,0,54980,74990
HP Pavilion Ryzen 5 Hexa Core 5625U,4.2,264,55200,64491
HP 15s Intel Core i3 11th Gen,4.1,131,41490,51470
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
acer Aspire 3 Pentium Silver,4.0,19,26490,32990
DELL Core i5 11th Gen,4.0,3,59390,74619
Lenovo Ryzen 5 Hexa Core 5600H,0.0,0,59490,89490
DELL Inspiron Ryzen 7 Octa Core 5825U,4.0,25,66190,85550
DELL Core i3 11th Gen,4.2,6,42500,55350
acer Aspire 7 Core i5 12th Gen,4.3,285,69990,88999
DELL Core i3 12th Gen,4.0,9,47990,55047
Lenovo IdeaPad Core i3 10th Gen,4.2,64,35990,53790
DELL Inspiron Core i3 10th Gen,4.2,68,46880,63200
MSI Ryzen 7 Octa Core 5700U,4.2,113,52990,78990
ASUS Core i3 11th Gen,0.0,0,35990,52990
Infinix X1 Slim Series Core i5 10th Gen,4.2,697,44990,59999
Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U,4.4,112,37990,43990
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,67990,92999
acer Aspire 3 Core i3 11th Gen,4.1,61,35500,50000
Lenovo Athlon Dual Core 3050U,4.3,8,20990,35000
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,214,67990,92999
acer Aspire 3 Pentium Silver,4.0,19,28490,36990
Lenovo IdeaPad 3 Core i3 10th Gen,4.3,8,31990,53790
HP 15s Intel Core i5 12th Gen,4.2,111,66000,72210
DELL Inspiron Core i3 10th Gen,4.2,68,46880,63200
ASUS Ryzen 5 Dual Core 5th Gen,4.6,9,61990,76990
realme Book(Slim) Intel Evo Core i5 11th Gen,4.4,7067,59990,69999
acer Nitro 5 Core i5 11th Gen,4.6,11,63999,99990
DELL Core i3 12th Gen,4.0,9,47990,55047
acer Aspire 5 Ryzen 7 Octa Core 5700U,5.0,3,59990,79999
